"","Var1","Freq"
"1"," ",32
"2",",",3
"3",":",45
"4","B",3
"5","E",8
"6","I",2
"7","L",33
"8","N",50213
"9","R",5
"10","S",13
"11","T",64
"12","W",1
"13","Y",950
